"Duplicate ID","Duplicate score","id","name"
"1","0","254","Big Jake"
"1","100","255","Big Jake"
"2","0","2","Lawrence de Arabia"
"2","100","1177","Lawrence de Arabia"
"3","0","1504","Old Gringo"
"3","100","1506","Old Gringo"
"4","0","2219","The Treasure of the Sierra Madre"
"4","100","2220","The Treasure of the Sierra Madre"
"5","0","2418","White Feather"
"5","100","2419","White Feather"
"6","0","1705","Rock n Rolla"
"6","100","1706","Rock n Rolla"
"7","0","329","Cabeza de Vaca"
"7","100","330","Cabeza de Vaca"
"8","0","67","A Man Called Horse"
"8","100","68","A Man Called Horse"
"9","0","1900","superman the movie"
"9","100","1901","superman the movie"
"10","0","1829","solarbabies"
"10","100","1830","solarbabies"
"11","0","2096","The last song"
"11","100","2097","The last song"
"12","0","923","Highway Patrolman"
"12","100","924","Highway Patrolman"
"13","0","661","el traje"
"13","100","663","el traje"
"14","0","2231","The Unforgiven"
"14","100","2232","The Unforgiven"
"15","0","1389","Mother Teresa"
"15","100","1390","Mother Teresa"
"16","0","1452","No Country for Old Men"
"16","100","1453","No Country for Old Men"
"17","0","1519","One Man's Hero"
"17","100","1520","One Man's Hero"
"18","0","2043","The Good, the Bad and the Ugly"
"18","100","2044","The Good, the Bad and the Ugly"
"19","0","209","Bandidas"
"19","100","210","Bandidas"
"20","0","603","El extra?o hijo del Sheriff"
"20","100","604","El extra?o hijo del Sheriff"
"21","0","532","Doctor Zhivago"
"21","100","534","Doctor Zhivago"
"22","0","2240","the war wagon"
"22","100","2241","the war wagon"
"23","0","2434","World War Z"
"23","100","2435","World War Z"
"24","0","2111","The Magnificent Seven"
"24","100","2112","The Magnificent Seven"
"25","0","939","Hour of the Gun"
"25","100","940","Hour of the Gun"
"26","0","2312","True Grit"
"26","100","2313","True Grit"
"27","0","2247","The Wild Bunch"
"27","100","2248","The Wild Bunch"
"28","0","740","Fat Man and Little Boy"
"28","100","741","Fat Man and Little Boy"
"29","0","479","Day of the Evil Gun"
"29","100","480","Day of the Evil Gun"
"30","0","1343","Miami Vice"
"30","100","1344","Miami Vice"
"31","0","1737","Saving Private Perez"
"31","100","1738","Saving Private Perez"
"32","0","108","alatriste"
"32","100","109","alatriste"
"33","0","2256","The World is Not Enough"
"33","100","2257","The World is Not Enough"
"34","0","2389","Wagons East"
"34","100","2390","Wagons East"
"34","100","2391","Wagons East"
"35","0","1281","Macho Callahan"
"35","100","1282","Macho Callahan"
"36","0","2194","The Sons of Katie Elder"
"36","100","2195","The Sons of Katie Elder"
"36","100","2196","The Sons of Katie Elder"
"36","100","2197","The Sons of Katie Elder"
"37","0","2263","There Will Be Blood"
"37","100","2264","There Will Be Blood"
"38","0","757","Firewalker"
"38","100","758","Firewalker"
"39","0","562","Eagle's Wing"
"39","100","563","Eagle's Wing"
"40","0","495","Der Himmel ?ber Berlin"
"40","100","496","Der Himmel ?ber Berlin"
"41","0","1947","The Alamo"
"41","100","1948","The Alamo"
"42","0","2204","The Sweetest Thing"
"42","100","2205","The Sweetest Thing"
"43","0","1688","Revenge"
"43","100","1689","Revenge"
"44","0","2208","The Tall Men"
"44","100","2210","The Tall Men"
"45","0","1557","Pat Garrett & Billy the Kid"
"45","100","1558","Pat Garrett & Billy the Kid"
"46","0","2346","Unbreakable"
"46","100","2347","Unbreakable"
"47","0","827","Geronimo"
"47","100","828","Geronimo"
"48","0","1097","La cosecha de mujeres"
"48","100","1098","La cosecha de mujeres"
"49","0","316","Buck and the Preacher"
"49","100","317","Buck and the Preacher"
"50","0","1034","Jesus of Nazareth"
"50","100","1035","Jesus of Nazareth"
"51","0","2213","The Three Musketeers"
"51","100","2214","The Three Musketeers"
"52","0","2083","The Italian Job"
"52","100","2084","The Italian Job"
"53","0","386","Chicogrande"
"53","100","387","Chicogrande"
"54","0","1500","Odette una comedia sobre la felicidad"
"54","100","1501","Odette una comedia sobre la felicidad"
