"Duplicate ID","Duplicate score","id","name"
"1","0","tt0063442","Planet of the Apes"
"1","100","773","Planet of the Apes"
"2","0","669","Love Story"
"2","100","fm1270","Love Story"
"3","0","tt0080120","The Warriors"
"3","100","tt0080120","The Warriors"
"4","0","826","The Ring"
"4","100","fm2170","The Ring"
"5","0","899","Sexy Beast"
"5","100","fm1773","Sexy Beast"
"6","0","1073","Village of the Damned"
"6","100","1074","Village of the Damned"
"7","0","1137","Zoolander"
"7","100","fm2458","Zoolander"
"8","0","594","The Karate Kid"
"8","100","595","The Karate Kid"
"9","0","510","Ghost"
"9","100","fm831","Ghost"
"10","0","tt0096874","Back to the Future Part II"
"10","100","tt0096874","Back to the Future Part II"
"11","0","122","Armageddon"
"11","100","fm178","Armageddon"
"12","0","751","The Passion of the Christ"
"12","100","fm2148","The Passion of the Christ"
"13","0","tt0047437","Sabrina"
"13","100","857","Sabrina"
"14","0","352","Cruel Intentions"
"14","100","fm457","Cruel Intentions"
"15","0","1079","Waking Ned"
"15","100","fm2392","Waking Ned"
"16","0","197","Bend It Like Beckham"
"16","100","fm242","Bend It Like Beckham"
"17","0","516","The Girl Next Door"
"17","100","fm2032","The Girl Next Door"
"18","0","1004","The Thomas Crown Affair"
"18","100","1005","The Thomas Crown Affair"
"19","0","1082","Wanted"
"19","100","fm2397","Wanted"
"20","0","tt0376541","Closer"
"20","100","tt0376541","Closer"
"21","0","605","Kindergarten Cop"
"21","100","fm1069","Kindergarten Cop"
"22","0","528","Gone In 60 seconds"
"22","100","529","Gone In 60 seconds"
"23","0","tt0053472","Breathless"
"23","100","263","Breathless"
"24","0","61","Alfie"
"24","100","fm112","Alfie"
"25","0","203","Big"
"25","100","fm252","Big"
"26","0","1010","The Three Musketeers"
"26","100","1011","The Three Musketeers"
"26","100","1012","The Three Musketeers"
"27","0","tt1707386","Les Mis?rables"
"27","100","tt0119683","Les Mis?rables"
"28","0","285","Captain America: The First Avenger"
"28","100","fm344","Captain America: The First Avenger"
