"Duplicate ID","Duplicate score","id","name","year"
"14","0","525","Goldeneye","1995"
"14","100","921","Goldeneye","1995"
"15","0","272","Buffy the Vampire Slayer","1992"
"15","100","1130","Buffy the Vampire Slayer","1992"
"16","0","602","Killer Klowns from Outer Space","1988"
"16","100","664","Killer Klowns from Outer Space","1988"
"16","100","965","Killer Klowns from Outer Space","1988"
"17","0","234","Blow Out","1981"
"17","100","240","Blow Out","1981"
"18","0","138","The Aviator","2004"
"18","100","1026","The Aviator","2004"
"19","0","657","The Long Good Friday","1980"
"19","100","934","The Long Good Friday","1980"
"20","0","345","Heathers","1989"
"20","100","738","Heathers","1989"
"20","100","831","Heathers","1989"
"21","0","568","Indiana Jones and the Last Crusade","1989"
"21","100","970","Indiana Jones and the Last Crusade","1989"
"22","0","261","Ferris Bueller?s Day Off","1986"
"22","100","463","Ferris Bueller?s Day Off","1986"
"23","0","626","Lara Croft: Tomb Raider","2001"
"23","100","1052","Lara Croft: Tomb Raider","2001"
"24","0","107","The Godfather Part 2","1974"
"24","100","350","The Godfather Part 2","1974"
"24","100","523","The Godfather Part 2","1974"
"25","0","378","Dead Again","1991"
"25","100","658","Dead Again","1991"
"26","0","32","Ace Ventura - Pet Detective","1989"
"26","100","33","Ace Ventura - Pet Detective","1989"
"26","100","116","Ace Ventura - Pet Detective","1989"
