"id","name"
"tt0050083","12 Angry Men"
"tt0062622","2001: A Space Odyssey"
"tt0315733","21 Grams"
"tt0307901","25th Hour"
"tt0381849","3:10 to Yuma"
"tt0106489","A Bronx Tale"
"tt0088680","After Hours"
"tt0086879","Amadeus"
"tt0185125","All About My Mother"
"tt0181875","Almost Famous"
"tt0211915","Amélie"
"tt0120586","American History X"
"tt0445922","Across the Universe"
"tt0245712","Amores Perros"
"tt0765429","American Gangster"
"tt0052561","Anatomy of a Murder"
"tt0075686","Annie Hall"
"tt0078788","Apocalypse Now"
"tt0144084","American Psycho"
"tt0305206","American Splendor"
"tt0472043","Apocalypto"
"tt0088763","Back to the Future"
"tt0119822","As Good as It Gets"
"tt0499549","Avatar"
"tt0783233","Atonement"
"tt0099077","Awakenings"
"tt0372784","Batman Begins"
"tt0112384","Apollo 13"
"tt0072684","Barry Lyndon"
"tt0052618","Ben-Hur"
"tt0052618","Ben-Hur"
"tt0112471","Before Sunrise"
"tt0449467","Babel"
"tt0083658","Blade Runner"
"tt0249462","Billy Elliot"
"tt0319061","Big Fish"
"tt0112573","Braveheart"
"tt0090756","Blue Velvet"
"tt0947798","Black Swan"
"tt0450259","Blood Diamond"
"tt0064115","Butch Cassidy and the Sundance Kid"
"tt0088846","Brazil"
"tt0034583","Casablanca"
"tt0103873","Braindead"
"tt0112641","Casino"
"tt0062765","Bullitt"
"tt0162222","Cast Away"
"tt0071315","Chinatown"
"tt1242422","Celda 211"
"tt0824747","Changeling"
"tt0095765","Cinema Paradiso"
"tt0033467","Citizen Kane"
"tt0317248","City of God"
"tt0264464","Catch Me If You Can"
"tt0140888","Central Station"
"tt0352248","Cinderella Man"
"tt0421082","Control"
"tt0106677","Dazed and Confused"
"tt0112817","Dead Man"
"tt0095016","Die Hard"
"tt0097165","Dead Poets Society"
"tt0066999","Dirty Harry"
"tt0246578","Donnie Darko"
"tt1136608","District 9"
"tt0276919","Dogville"
"tt0023969","Duck Soup"
"tt0099487","Edward Scissorhands"
"tt0918927","Doubt"
"tt0457430","El laberinto del fauno"
"tt0092965","Empire of the Sun"
"tt0070034","Enter the Dragon"
"tt0116282","Fargo"
"tt0120669","Fear and Loathing in Las Vegas"
"tt0308644","Finding Neverland"
"tt0817177","Flipped"
"tt0079116","Escape from Alcatraz"
"tt0059578","For a Few Dollars More"
"tt0109830","Forrest Gump"
"tt0106856","Falling Down"
"tt0087332","Ghostbusters"
"tt0093058","Full Metal Jacket"
"tt0097351","Field of Dreams"
"tt0083987","Gandhi"
"tt0091042","Ferris Bueller's Day Off"
"tt0172495","Gladiator"
"tt0031381","Gone with the Wind"
"tt0119217","Good Will Hunting"
"tt0116477","Hamlet"
"tt1205489","Gran Torino"
"tt0333766","Garden State"
"tt0097441","Glory"
"tt0107048","Groundhog Day"
"tt0068699","High Plains Drifter"
"tt0077651","Halloween"
"tt0091217","Hoosiers"
"tt0067185","Harold and Maude"
"tt0097576","Indiana Jones and the Last Crusade"
"tt0970179","Hugo"
"tt0425112","Hot Fuzz"
"tt1250777","Kick-Ass"
"tt0758758","Into the Wild"
"tt0038650","It's a Wonderful Life"
"tt0087469","Indiana Jones and the Temple of Doom"
"tt0118694","In the Mood for Love"
"tt0454848","Inside Man"
"tt0073195","Jaws"
"tt0467406","Juno"
"tt0102138","JFK"
"tt0107290","Jurassic Park"
"tt0024216","King Kong"
"tt0053779","La Dolce Vita"
"tt0056172","Lawrence of Arabia"
"tt1189073","La piel que habito"
"tt0335266","Lost in Translation"
"tt0118799","Life Is Beautiful"
"tt0314331","Love Actually"
"tt0120735","Lock, Stock and Two Smoking Barrels"
"tt0113627","Leaving Las Vegas"
"tt0110322","Legends of the Fall"
"tt0093409","Lethal Weapon"
"tt0416320","Match Point"
"tt1605783","Midnight in Paris"
"tt1013753","Milk"
"tt0209144","Memento"
"tt0449059","Little Miss Sunshine"
"tt0071853","Monty Python and the Holy Grail"
"tt0077928","Midnight Express"
"tt0132477","October Sky"
"tt1210166","Moneyball"
"tt0081283","Ordinary People"
"tt0079522","Manhattan"
"tt0408306","Munich"
"tt0053125","North by Northwest"
"tt0064665","Midnight Cowboy"
"tt0405159","Million Dollar Baby"
"tt0064116","Once Upon a Time in the West"
"tt0327056","Mystic River"
"tt0350258","Ray"
"tt0247586","Nine Queens"
"tt0054215","Psycho"
"tt0387564","Saw"
"tt0110912","Pulp Fiction"
"tt0081398","Raging Bull"
"tt0089881","Ran"
"tt0047396","Rear Window"
"tt0907657","Once"
"tt0105236","Reservoir Dogs"
"tt0070511","Papillon"
"tt0066206","Patton"
"tt0120815","Saving Private Ryan"
"tt0108052","Schindler's List"
"tt0063442","Planet of the Apes"
"tt0486655","Stardust"
"tt0420223","Stranger Than Fiction"
"tt0401792","Sin City"
"tt0988045","Sherlock Holmes"
"tt1515091","Sherlock Holmes: A Game of Shadows"
"tt0095250","The Big Blue"
"tt0056869","The Birds"
"tt0375063","Sideways"
"tt0878804","The Blind Side"
"tt0372183","The Bourne Supremacy"
"tt0053221","Rio Bravo"
"tt0117665","Sleepers"
"tt0046250","Roman Holiday"
"tt0043456","The Day the Earth Stood Still"
"tt0106977","The Fugitive"
"tt0119174","The Game"
"tt0089218","The Goonies"
"tt0829482","Superbad"
"tt1119646","The Hangover"
"tt0076786","Suspiria"
"tt0365748","Shaun of the Dead"
"tt0096754","The Abyss"
"tt0093389","The Last Emperor"
"tt0104691","The Last of the Mohicans"
"tt0325710","The Last Samurai"
"tt0443680","The Assassination of Jesse James by the Coward Robert Ford"
"tt0056197","The Longest Day"
"tt0468569","The Dark Knight"
"tt1345836","The Dark Knight Rises"
"tt1010048","Slumdog Millionaire"
"tt0361862","The Machinist"
"tt0407887","The Departed"
"tt0112579","The Bridges of Madison County"
"tt0080678","The Elephant Man"
"tt0387131","The Constant Gardener"
"tt0054331","Spartacus"
"tt0109506","The Crow"
"tt0068646","The Godfather"
"tt0032551","The Grapes of Wrath"
"tt0032553","The Great Dictator"
"tt0057115","The Great Escape"
"tt0120689","The Green Mile"
"tt0108037","The Sandlot"
"tt0091064","The Fly"
"tt0936501","Taken"
"tt1285016","The Social Network"
"tt0029843","The Adventures of Robin Hood"
"tt1655442","The Artist"
"tt0857191","The Visitor"
"tt0080120","The Warriors"
"tt0080120","The Warriors"
"tt0274558","The Hours"
"tt0080455","The Blues Brothers"
"tt0887912","The Hurt Locker"
"tt0258463","The Bourne Identity"
"tt0443543","The Illusionist"
"tt0440963","The Bourne Ultimatum"
"tt0120338","Titanic"
"tt0095497","The Last Temptation of Christ"
"tt0181865","Traffic"
"tt0139654","Training Day"
"tt0482571","The Prestige"
"tt0093779","The Princess Bride"
"tt0070047","The Exorcist"
"tt0460791","The Fall"
"tt0964517","The Fighter"
"tt0075005","The Omen"
"tt0230600","The Others"
"tt0111161","The Shawshank Redemption"
"tt0446755","The Painted Veil"
"tt0081505","The Shining"
"tt0102926","The Silence of the Lambs"
"tt0070735","The Sting"
"tt0061722","The Graduate"
"tt0976051","The Reader"
"tt0041959","The Third Man"
"tt1454029","The Help"
"tt0114814","The Usual Suspects"
"tt0140352","The Insider"
"tt1504320","The King's Speech"
"tt0117951","Trainspotting"
"tt1156398","Zombieland"
"tt0332280","The Notebook"
"tt0048728","To Catch a Thief"
"tt0054047","The Magnificent Seven"
"tt0100802","Total Recall"
"tt1403865","True Grit"
"tt0454921","The Pursuit of Happyness"
"tt0107943","The Remains of the Day"
"tt0105695","Unforgiven"
"tt0049730","The Searchers"
"tt0052357","Vertigo"
"tt0059742","The Sound of Music"
"tt0120382","The Truman Show"
"tt0094226","The Untouchables"
"tt0441909","Volver"
"tt1125849","The Wrestler"
"tt0409459","Watchmen"
"tt0055614","West Side Story"
"tt0040897","The Treasure of the Sierra Madre"
"tt0090329","Witness"
"tt0477348","No Country for Old Men"
"tt0060196","The Good, the Bad and the Ugly"
"tt1174732","An Education"
"tt0094721","Beetlejuice"
"tt0093191","Wings of Desire"
"tt0072431","Young Frankenstein"
"tt0118842","Chasing Amy"
"tt0059113","Doctor Zhivago"
"tt0376541","Closer"
"tt0376541","Closer"
"tt0065214","The Wild Bunch"
"tt0118884","Contact"
"tt0469494","There Will Be Blood"
"tt0069995","Don't Look Now"
"tt0082348","Excalibur"
"tt0099785","Home Alone"
"tt1057500","Invictus"
"tt0091369","Labyrinth"
"tt1197624","Law Abiding Citizen"
"tt0375912","Layer Cake"
"tt0465538","Michael Clayton"
"tt1229238","Mission: Impossible - Ghost Protocol"
"tt0780571","Mr. Brooks"
"tt0107616","Much Ado About Nothing"
"tt1078588","My Sister's Keeper"
"tt0084516","Poltergeist"
"tt0959337","Revolutionary Road"
"tt0329575","Seabiscuit"
"tt0078346","Superman"
"tt0825232","The Bucket List"
"tt1033575","The Descendants"
"tt0110074","The Hudsucker Proxy"
"tt1458175","The Next Three Days"
"tt0117500","The Rock"
"tt0134119","The Talented Mr. Ripley"
"tt0094291","Wall Street"
"tt0120903","X-Men"
"tt0065126","True Grit"
"tt2024544","12 Years a Slave"
"tt1022603","(500) Days of Summer"
"tt1542344","127 Hours"
"tt0289043","28 Days Later..."
"tt2194499","About Time"
"tt0078748","Alien"
"tt0080339","Airplane!"
"tt0090605","Aliens"
"tt0042192","All About Eve"
