"id@sourceA","name@sourceA","year@sourceA","id@sourceB","name@sourceB","Confidence"
"tt0050083","12 Angry Men","1957","fm18","12 Angry Men","100"
"tt0062622","2001: A Space Odyssey","1968","fm32","2001: A Space Odyssey","100"
"tt0315733","21 Grams","2003","fm35","21 grams","100"
"tt0307901","25th Hour","2002","fm37","25th Hour","100"
"tt0381849","3:10 to Yuma","2007","fm43","3:10 to Yuma","100"
"tt0106489","A Bronx Tale","1993","fm58","A Bronx Tale","100"
"tt0088680","After Hours","1985","fm98","after hours","100"
"tt0086879","Amadeus","1984","fm129","Amadeus","100"
"tt0185125","All About My Mother","1999","fm118","all about my mother","100"
"tt0181875","Almost Famous","2000","fm125","Almost Famous","100"
"tt0211915","Am?lie","2001","fm134","Am?lie","100"
"tt0120586","American History X","1998","fm140","American History X","100"
"tt0445922","Across the Universe","2007","fm91","Across the universe","100"
"tt0245712","Amores Perros","2000","fm149","amores perros","100"
"tt0765429","American Gangster","2007","fm139","American Gangster","100"
"tt0052561","Anatomy of a Murder","1959","fm154","Anatomy of a Murder","100"
"tt0075686","Annie Hall","1977","fm166","annie hall","100"
"tt0078788","Apocalypse Now","1979","fm172","apocalypse now","100"
"tt0144084","American Psycho","2000","fm143","American Psycho","100"
"tt0305206","American Splendor","2003","fm144","american splendor","100"
"tt0472043","Apocalypto","2006","fm173","Apocalypto","100"
"tt0088763","Back to the Future","1985","fm197","Back to the Future","100"
"tt0119822","As Good as It Gets","1997","fm180","as good as it gets","100"
"tt0499549","Avatar","2009","fm191","Avatar","100"
"tt0783233","Atonement","2007","fm187","Atonement","100"
"tt0099077","Awakenings","1990","fm192","awakenings","100"
"tt0372784","Batman Begins","2005","fm220","Batman begins","100"
"tt0112384","Apollo 13","1995","fm174","Apollo 13","100"
"tt0072684","Barry Lyndon","1975","fm216","Barry Lyndon","100"
"tt0052618","Ben-Hur","1959","fm240","BEN-HUR","100"
"tt0052618","Ben-Hur","1959","fm241","Ben-Hur","100"
"tt0112471","Before Sunrise","1995","fm229","Before Sunrise","100"
"tt0449467","Babel","2006","fm195","babel","100"
"tt0083658","Blade Runner","1982","fm269","Blade Runner","100"
"tt0249462","Billy Elliot","2000","fm260","billy elliot","100"
"tt0319061","Big Fish","2003","fm253","Big Fish","100"
"tt0112573","Braveheart","1995","fm301","Braveheart","100"
"tt0090756","Blue Velvet","1986","fm280","blue velvet","100"
"tt0947798","Black Swan","2010","fm268","Black Swan","100"
"tt0450259","Blood Diamond","2006","fm274","Blood Diamond","100"
"tt0064115","Butch Cassidy and the Sundance Kid","1969","fm323","butch cassidy and the sundance kid","100"
"tt0088846","Brazil","1985","fm302","Brazil","100"
"tt0034583","Casablanca","1942","fm359","Casablanca","100"
"tt0103873","Braindead","1992","fm299","braindead","100"
"tt0112641","Casino","1995","fm362","Casino","100"
"tt0062765","Bullitt","1968","fm320","Bullitt","100"
"tt0162222","Cast Away","2000","fm363","Cast Away","100"
"tt0071315","Chinatown","1974","fm389","Chinatown","100"
"tt1242422","Celda 211","2009","fm371","Celda 211","100"
"tt0824747","Changeling","2008","fm375","Changeling","100"
"tt0095765","Cinema Paradiso","1988","fm402","cinema paradiso","100"
"tt0033467","Citizen Kane","1941","fm403","CITIZEN KANE","100"
"tt0317248","City of God","2002","fm406","city of God","100"
"tt0264464","Catch Me If You Can","2002","fm366","Catch Me If You Can","100"
"tt0140888","Central Station","1998","fm373","central station","100"
"tt0352248","Cinderella Man","2005","fm400","Cinderella Man","100"
"tt0421082","Control","2007","fm441","Control","100"
"tt0106677","Dazed and Confused","1993","fm481","dazed and confused","100"
"tt0112817","Dead Man","1995","fm485","Dead Man","100"
"tt0095016","Die Hard","1988","fm517","Die Hard","100"
"tt0097165","Dead Poets Society","1989","fm486","Dead Poets Society","100"
"tt0066999","Dirty Harry","1971","fm524","Dirty Harry","100"
"tt0246578","Donnie Darko","2001","fm541","Donnie Darko","100"
"tt1136608","District 9","2009","fm526","district 9","100"
"tt0276919","Dogville","2003","fm535","Dogville","100"
"tt0023969","Duck Soup","1933","fm555","Duck Soup","100"
"tt0099487","Edward Scissorhands","1990","fm568","Edward Scissorhands","100"
"tt0918927","Doubt","2008","fm544","Doubt","100"
"tt0457430","El laberinto del fauno","2006","fm617","el laberinto del fauno","100"
"tt0092965","Empire of the Sun","1987","fm684","empire of the sun","100"
"tt0070034","Enter the Dragon","1973","fm704","enter the dragon","100"
"tt0116282","Fargo","1996","fm734","fargo","100"
"tt0120669","Fear and Loathing in Las Vegas","1998","fm744","Fear and Loathing in Las Vegas","100"
"tt0308644","Finding Neverland","2004","fm754","Finding Neverland","100"
"tt0817177","Flipped","2010","fm772","Flipped","100"
"tt0079116","Escape from Alcatraz","1979","fm714","Escape from Alcatraz","100"
"tt0059578","For a Few Dollars More","1965","fm776","For a few dollars more","100"
"tt0109830","Forrest Gump","1994","fm783","forrest gump","100"
"tt0106856","Falling Down","1993","fm731","Falling Down","100"
"tt0087332","Ghostbusters","1984","fm833","Ghostbusters","100"
"tt0093058","Full Metal Jacket","1987","fm812","full metal jacket","100"
"tt0097351","Field of Dreams","1989","fm750","Field of Dreams","100"
"tt0083987","Gandhi","1982","fm821","Gandhi","100"
"tt0091042","Ferris Bueller's Day Off","1986","fm748","Ferris Bueller's Day Off","100"
"tt0172495","Gladiator","2000","fm842","Gladiator","100"
"tt0031381","Gone with the Wind","1939","fm852","Gone with the wind","100"
"tt0119217","Good Will Hunting","1997","fm855","Good Will Hunting","100"
"tt0116477","Hamlet","1996","fm889","Hamlet","100"
"tt1205489","Gran Torino","2008","fm867","gran torino","100"
"tt0333766","Garden State","2004","fm823","garden state","100"
"tt0097441","Glory","1989","fm845","Glory","100"
"tt0107048","Groundhog Day","1993","fm875","Groundhog Day","100"
"tt0068699","High Plains Drifter","1973","fm918","High Plains Drifter","100"
"tt0077651","Halloween","1978","fm887","halloween","100"
"tt0091217","Hoosiers","1986","fm931","Hoosiers","100"
"tt0067185","Harold and Maude","1971","fm898","harold and maude","100"
"tt0097576","Indiana Jones and the Last Crusade","1989","fm996","Indiana Jones and the Last crusade","100"
"tt0970179","Hugo","2011","fm949","Hugo","100"
