"id@sourceA","name@sourceA","year@sourceA","id@sourceB","name@sourceB","Confidence"
"tt2024544","12 Years a Slave","2013","4","12 Years a Slave","100"
"tt1022603","(500) Days of Summer","2009","1","(500) Days of Summer","100"
"tt1542344","127 Hours","2010","5","127 Hours","100"
"tt0315733","21 Grams","2003","7","21 Grams","100"
"tt0289043","28 Days Later...","2002","9","28 Days later","100"
"tt2194499","About Time","2013","21","About Time","100"
"tt0096754","The Abyss","1989","26","The Abyss","100"
"tt0029843","The Adventures of Robin Hood","1938","43","the adventures of robin hood","100"
"tt0088680","After Hours","1985","46","After Hours","100"
"tt0078748","Alien","1979","66","Alien","100"
"tt0080339","Airplane!","1980","54","airplane!","100"
"tt0090605","Aliens","1986","67","AlienS","100"
"tt0042192","All About Eve","1950","69","All About Eve","100"
"tt0109045","The Adventures of Priscilla, Queen of the Desert","1994","41","The Adventures of Priscilla, Queen of the Desert","100"
"tt0086879","Amadeus","1984","79","Amadeus","100"
"tt0020629","All Quiet on the Western Front","1930","71","All Quiet on the Western Front","100"
"tt0074119","All the President's Men","1976","74","All the President's Men","100"
"tt0181875","Almost Famous","2000","75","Almost Famous","100"
"tt0169547","American Beauty","1999","87","American Beauty","100"
"tt0120586","American History X","1998","90","American History X","100"
"tt0071562","The Godfather: Part II","1974","107","The Godfather Part 2","100"
"tt0069704","American Graffiti","1973","89","American Graffiti","100"
"tt0144084","American Psycho","2000","94","American Psycho","100"
"tt0075686","Annie Hall","1977","113","Annie Hall","100"
"tt0305206","American Splendor","2003","95","American Splendor","100"
"tt0082010","An American Werewolf in London","1981","96","An American Werewolf in London","100"
"tt0078788","Apocalypse Now","1979","118","Apocalypse Now","100"
"tt0119822","As Good as It Gets","1997","125","As Good As It Gets","100"
"tt1655442","The Artist","2011","124","The Artist","100"
"tt0783233","Atonement","2007","130","Atonement","100"
"tt0099077","Awakenings","1990","140","Awakenings","100"
"tt0112384","Apollo 13","1995","119","APOLLO 13","100"
"tt0096874","Back to the Future Part II","1989","147","back to the future part ii","100"
"tt0096874","Back to the Future Part II","1989","148","Back to the Future Part III","100"
"tt0338751","The Aviator","2004","138","The Aviator","100"
"tt0088763","Back to the Future","1985","146","back to the future","100"
"tt0101410","Barton Fink","1991","164","Barton Fink","100"
"tt0096895","Batman","1989","167","Batman","100"
"tt0069762","Badlands","1973","157","Badlands","100"
"tt0372784","Batman Begins","2005","169","Batman Begins","100"
"tt0072684","Barry Lyndon","1975","163","Barry Lyndon","100"
"tt0268978","A Beautiful Mind","2001","180","A Beautiful Mind","100"
"tt0112471","Before Sunrise","1995","185","Before Sunrise","100"
"tt0381681","Before Sunset","2004","186","Before Sunset","100"
"tt0078841","Being There","1979","189","Being There","100"
"tt0249462","Billy Elliot","2000","215","BILLY ELLIOT","100"
