"id","name","year"
"1","(500) Days of Summer","2009"
"3","Twelve Monkeys","1996"
"4","12 Years a Slave","2013"
"5","127 Hours","2010"
"6","21","2008"
"7","21 Grams","2003"
"8","21 Jump Street","2012"
"9","28 Days later","2002"
"10","Three men and a baby","1987"
"11","Three Men and a Little Lady","1990"
"12","The 40-Year-Old Virgin","2005"
"13","8 Mile ","2002"
"14","A Bout de Souffle (Breathless)","1959"
"15","A.I. – Artificial Intelligence","2001"
"16","A Propos de Nice","1930"
"17","A.W.O.L. (Lionheart)","1990"
"18","The Abominable Dr Phibes","1971"
"19","About a Boy","2002"
"21","About Time","2013"
"22","Abre los ojos (Open Your Eyes)","1997"
"23","Absence of Malice","1981"
"24","Absolute Beginners","1986"
"25","Absolute Power","1997"
"26","The Abyss","1989"
"27","Accattone","1961"
"28","Accident","1967"
"29","The Accidental Tourist","1988"
"30","Accion Mutante","1993"
"31","Ace In The Hole","1951"
"32","Ace Ventura - Pet Detective","1989"
"33","Ace Ventura - Pet Detective","1989"
"34","Across 110th Street","1972"
"35","Adam’s Rib","1949"
"36","The Addams Family","1991"
"37","Addams Family Values","1993"
"38","Adventureland","2009"
"39","The Adventures of Baron Munchausen","1989"
"40","The Adventures of Barry McKenzie","1972"
"41","The Adventures of Priscilla, Queen of the Desert","1994"
"42","The Adventures of Quentin Durward","1955"
"43","the adventures of robin hood","1938"
"44","Advise and Consent","1962"
"46","After Hours","1985"
"47","Against All Odds","1984"
"48","Agatha ","1979"
"50","The Age of Innocence","1993"
"51","The Agony And The Ecstasy","1965"
"53","Air Force One","1997"
"54","airplane!","1980"
"55","airport","1970"
"56","Airport ’75","1974"
"57","Airport ’77","1977"
"58","The Concorde... Airport ’79","1979"
"59","The Alamo","1960"
"61","Alfie","1966"
"62","Alice","1990"
"63","Alice Doesn't Live Here Anymore","1974"
"64","Alice In Den Stadten (Alice In The Cities)","1974"
"65","ALICE IN WONDERLAND","2010"
"66","Alien","1979"
"67","AlienS","1986"
"68","Alien3","1992"
"69","All About Eve","1950"
"70","All Or Nothing","2002"
"71","All Quiet on the Western Front","1930"
"72","All That Jazz","1979"
"73","All The King’s Men","1949"
"74","All the President's Men","1976"
"75","Almost Famous","2000"
"76","Alpha dog","2006"
"77","Alphaville","1965"
"78","Altered States","1980"
"79","Amadeus","1984"
"80","Les Amants (The Lovers)","1958"
"81","Les Amants du Pont Neuf","1990"
"82","Amarcord","1974"
"83","Amateur","1994"
"84","The Amazing Colossal Man","1957"
"85","The Amazing Spider Man","2012"
"86","AmÉlie (Le Fabuleux Destin d'AmÉlie Poulain)","2001"
"87","American Beauty","1999"
"88","American Gigolo","1980"
"89","American Graffiti","1973"
"90","American History X","1998"
"91","American Hustle","2013"
"92","American Pie","1999"
"93","American Wedding","2003"
"94","American Psycho","2000"
"95","American Splendor","2003"
"96","An American Werewolf in London","1981"
"97","Amistad","1997"
"98","The Amityville Horror","1979"
"99","AmsterdamNed","1988"
"100","Anaconda","1997"
"101","Analyze that","2002"
"102","Analyze this","1999"
"103","Anchorman: The Legend of ron Burgundy","2004"
"104","Et Dieu... CrÉA LA FEMME (...And God Created Woman)","1957"
"105","The Anderson Tapes","1971"
"106","An Angel At My Table","1990"
"107","The Godfather Part 2","1974"
"108","Angels And Demons","2009"
"109","Angst Essen Seele Auf (Fear Eats The Soul)","1974"
"110","Anna and the King","1999"
"111","Anne of the Thousand Days","1969"
"112","L’AnnÉe DerniÈre À Marienbad (Last Year in Marienbad)","1957"
"113","Annie Hall","1977"
"114","Another Country","1984"
"115","Another Woman","1988"
"116","Ace Ventura - Pet Detective","1989"
"117","Apache","1954"
"118","Apocalypse Now","1979"
"119","APOLLO 13","1995"
"120","Apt Pupil","1998"
"121","Arabesque","1966"
"122","Armageddon","1998"
"123","Arthur","1981"
"124","The Artist","2011"
"125","As Good As It Gets","1997"
"126","Ascenseur  Pour l'Echafaud (Lift to the Scaffold)","1957"
"127","The Assam Garden","1985"
"128","The Assassin (Point of No Return)","1993"
"129","Assault on Precinct 13","1976"
"130","Atonement","2007"
"131","Au Revoir Les Enfants","1987"
"132","Austin Powers: International Man Of Mystery","1997"
"133","Austin Powers: The Spy Who Shagged Me","1999"
"134","Austin Powers in Goldmember","2002"
"135","Avalon","1990"
"136","The Avengers","1998"
"137","The Avengers (Avengers Assemble)","2012"
"138","The Aviator","2004"
"139","L’Avventura","1960"
"140","Awakenings","1990"
"141","An Awfully Big Adventure","1995"
"142","Babe","1995"
"143","Babe: Pig in the City","1995"
"144","Babette's Feast","1987"
"145","Baby Doll","1956"
"146","back to the future","1985"
"147","back to the future part ii","1989"
"148","Back to the Future Part III","1989"
"149","Backbeat","1993"
"150","Backdraft","1991"
"151","Bad Boys","1995"
"152","Bad Day at Black Rock","1955"
"154","Bad Lieutenant","1992"
"155","Bad Taste","1987"
"156","BAD TIMING","1980"
"157","Badlands","1973"
"158","Bagdad Cafe","1988"
"159","The Ballad Of Cable Hogue","1970"
"160","Bande À Part","1964"
"161","Barabbas","1961"
"162","Barefoot in the Park","1967"
"163","Barry Lyndon","1975"
"164","Barton Fink","1991"
"165","Basic Instinct","1992"
"166","BASKET CASE","1982"
"167","Batman","1989"
"168","Batman & Robin","1997"
"169","Batman Begins","2005"
"170","Batman Forever","1995"
"171","Batman Returns","1992"
"172","La Battaglia Di Algeri (The Battle Of Algiers)","1966"
"173","The Battle of the Sexes","1959"
"174","Bronenosets Potyomkin (Battleship Potemkin)","1925"
"175","The Beach","2000"
"176","Beach Blanket Bingo","1965"
"177","The Beast From 20,000 Fathoms","1953"
"178","Beat the Devil","1953"
"179","Beau Brummell","1954"
"180","A Beautiful Mind","2001"
"181","Bedazzled","1967"
"182","Bedazzled","2000"
